DATE,EASTERN GAME TIME,LOCAL GAME TIME,REST DAYS,ROAD TEAM,HOME TEAM,REST DAYS,ARENA
11/25,7:00 PM,7:00 PM,3IN4-B2B,Brooklyn Nets,Cleveland Cavaliers,3IN4,Rocket Mortgage FieldHouse
11/25,7:00 PM,7:00 PM,1,Orlando Magic,Detroit Pistons,3IN4,Little Caesars Arena
11/25,7:00 PM,7:00 PM,1,Memphis Grizzlies,Indiana Pacers,1,Bankers Life Fieldhouse
11/25,7:30 PM,7:30 PM,1,Minnesota Timberwolves,Atlanta Hawks,3IN4,State Farm Arena
11/25,7:30 PM,7:30 PM,3IN4-B2B,Sacramento Kings,Boston Celtics,2,TD Garden
11/25,7:30 PM,7:30 PM,3IN4,Charlotte Hornets,Miami Heat,3IN4,American Airlines Arena
11/25,7:30 PM,7:30 PM,3IN4,Philadelphia 76ers,Toronto Raptors,1,Scotiabank Arena
11/25,8:00 PM,7:00 PM,1,Portland Trail Blazers,Chicago Bulls,3IN4,United Center
11/25,8:00 PM,7:00 PM,3IN4,Utah Jazz,Milwaukee Bucks,1,Fiserv Forum
11/25,8:30 PM,7:30 PM,3IN4,Los Angeles Lakers,San Antonio Spurs,3IN4,AT&T Center
11/25,10:30 PM,7:30 PM,2,Oklahoma City Thunder,Golden State Warriors,2,Chase Center
11/26,8:30 PM,7:30 PM,1,Los Angeles Clippers,Dallas Mavericks,1,American Airlines Center
11/26,9:00 PM,7:00 PM,1,Washington Wizards,Denver Nuggets,1,Pepsi Center
11/27,7:00 PM,7:00 PM,3IN4,Brooklyn Nets,Boston Celtics,1,TD Garden
11/27,7:00 PM,7:00 PM,1,Detroit Pistons,Charlotte Hornets,1,Spectrum Center
11/27,7:00 PM,7:00 PM,1,Orlando Magic,Cleveland Cavaliers,1,Rocket Mortgage FieldHouse
11/27,7:00 PM,7:00 PM,1,Utah Jazz,Indiana Pacers,1,Bankers Life Fieldhouse
11/27,7:00 PM,7:00 PM,3IN4,Sacramento Kings,Philadelphia 76ers,1,Wells Fargo Center
11/27,7:30 PM,7:30 PM,2,New York Knicks,Toronto Raptors,1,Scotiabank Arena
11/27,8:00 PM,7:00 PM,1,Atlanta Hawks,Milwaukee Bucks,1,Fiserv Forum
11/27,8:00 PM,7:00 PM,1,Miami Heat,Houston Rockets,2,Toyota Center
